concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
766231		Drug	CPT4	CPT4		0001A	20201211	20991231	
2108420		Observation	CPT4	CPT4	S	0001F	20040331	20991231	
46257721		Measurement	CPT4	CPT4	S	0001M	20150511	20190505	
42739901		Procedure	CPT4	CPT4	S	0001T	19700101	20050119	
42627913		Measurement	CPT4	CPT4	S	0001U	20170508	20991231	
766232		Drug	CPT4	CPT4		0002A	20201211	20991231	
42740578		Observation	CPT4	CPT4	S	0002F	20040331	20160311	
46257430		Measurement	CPT4	CPT4	S	0002M	20150511	20991231	
42739902		Procedure	CPT4	CPT4	S	0002T	19700101	20040331	
42628641		Measurement	CPT4	CPT4	S	0002U	20170508	20991231	
759433		Drug	CPT4	CPT4		0003A	20210812	20991231	
42740579		Observation	CPT4	CPT4		0003F	20040331	20050119	
46257483		Measurement	CPT4	CPT4	S	0003M	20150501	20991231	
42739903		Procedure	CPT4	CPT4	S	0003T	19700101	20070703	
42628034		Measurement	CPT4	CPT4	S	0003U	20170508	20991231	
759434		Drug	CPT4	CPT4		0004A	20210922	20991231	
42740580		Procedure	CPT4	CPT4	S	0004F	20040331	20160311	
46257537		Measurement	CPT4	CPT4	S	0004M	20150511	20991231	
724989		Measurement	CPT4	CPT4	S	0004U	20180501	20190505	
2108437		Observation	CPT4	CPT4	S	0005F	20040331	20991231	
42739904		Procedure	CPT4	CPT4	S	0005T	19700101	20050119	
724990		Measurement	CPT4	CPT4	S	0005U	20180501	20991231	
42740582		Procedure	CPT4	CPT4		0006F	20040331	20050119	
46257387		Measurement	CPT4	CPT4	S	0006M	20150511	20991231	
42739905		Procedure	CPT4	CPT4	S	0006T	19700101	20050119	
724991		Measurement	CPT4	CPT4	S	0006U	20180501	20210101	
42740583		Observation	CPT4	CPT4		0007F	20040331	20050119	
46257686		Measurement	CPT4	CPT4	S	0007M	20150511	20991231	
42739906		Procedure	CPT4	CPT4	S	0007T	19700101	20050119	
724992		Measurement	CPT4	CPT4	S	0007U	20180501	20991231	
42740584		Procedure	CPT4	CPT4	S	0008F	20040331	20050119	
46257431		Measurement	CPT4	CPT4	S	0008M	20150511	20180506	
42739907		Procedure	CPT4	CPT4	S	0008T	19700101	20070703	
724993		Measurement	CPT4	CPT4	S	0008U	20180501	20991231	
42740585		Observation	CPT4	CPT4	S	0009F	20040331	20160311	
42628619		Measurement	CPT4	CPT4	S	0009M	20170508	20200503	
42739908		Procedure	CPT4	CPT4	S	0009T	19700101	20050119	
724994		Measurement	CPT4	CPT4	S	0009U	20180501	20991231	
2100624		Procedure	CPT4	CPT4		00100	19700101	20991231	
2100625		Procedure	CPT4	CPT4		00102	19700101	20991231	
2100626		Procedure	CPT4	CPT4	S	00103	19700101	20991231	
2100627		Procedure	CPT4	CPT4		00104	19700101	20991231	
42740586		Observation	CPT4	CPT4	S	0010F	20040331	20050119	
742192		Procedure	CPT4	CPT4	S	0010M	20160501	20170101	
42739909		Procedure	CPT4	CPT4	S	0010T	19700101	20160311	
724995		Measurement	CPT4	CPT4	S	0010U	20180501	20991231	
766233		Drug	CPT4	CPT4		0011A	20201218	20991231	
42740587		Procedure	CPT4	CPT4	S	0011F	20040331	20050119	
926980		Measurement	CPT4	CPT4	S	0011M	20190506	20991231	
724996		Measurement	CPT4	CPT4	S	0011U	20180501	20991231	
2100641		Procedure	CPT4	CPT4	S	00120	19700101	20991231	
2100652		Procedure	CPT4	CPT4	S	00124	19700101	20991231	
2100653		Procedure	CPT4	CPT4	S	00126	19700101	20991231	
766234		Drug	CPT4	CPT4		0012A	20201218	20991231	
2100654		Observation	CPT4	CPT4	S	0012F	20070703	20991231	
926981		Measurement	CPT4	CPT4	S	0012M	20190506	20991231	
42739910		Procedure	CPT4	CPT4	S	0012T	19700101	20050119	
724997		Measurement	CPT4	CPT4		0012U	20180501	20230501	
759435		Drug	CPT4	CPT4		0013A	20210812	20991231	
926982		Measurement	CPT4	CPT4	S	0013M	20190506	20991231	
42739911		Procedure	CPT4	CPT4		0013T	19700101	20050119	
724998		Measurement	CPT4	CPT4	S	0013U	20180501	20230501	
2100657		Procedure	CPT4	CPT4		00140	19700101	20991231	
2100658		Procedure	CPT4	CPT4		00142	19700101	20991231	
2100659		Procedure	CPT4	CPT4		00144	19700101	20991231	
2100660		Procedure	CPT4	CPT4	S	00145	19700101	20991231	
2100661		Procedure	CPT4	CPT4		00147	19700101	20991231	
2100672		Procedure	CPT4	CPT4		00148	19700101	20991231	
759436		Drug	CPT4	CPT4		0014A	20210503	20230501	
2100673		Procedure	CPT4	CPT4	S	0014F	20090406	20991231	
759437		Measurement	CPT4	CPT4	S	0014M	20210503	20991231	
42739928		Procedure	CPT4	CPT4	S	0014T	19700101	20050119	
724999		Measurement	CPT4	CPT4	S	0014U	20180501	20230501	
2100675		Procedure	CPT4	CPT4	S	0015F	20090406	20991231	
759438		Measurement	CPT4	CPT4	S	0015M	20210503	20991231	
725000		Measurement	CPT4	CPT4	S	0015U	20180501	20190505	
2100676		Procedure	CPT4	CPT4		00160	19700101	20991231	
2100677		Procedure	CPT4	CPT4		00162	19700101	20991231	
2100678		Procedure	CPT4	CPT4	S	00164	19700101	20991231	
759439		Measurement	CPT4	CPT4	S	0016M	20210503	20991231	
42739912		Procedure	CPT4	CPT4	S	0016T	19700101	20110505	
725001		Measurement	CPT4	CPT4	S	0016U	20180501	20991231	
2100680		Procedure	CPT4	CPT4	S	00170	19700101	20991231	
2100681		Procedure	CPT4	CPT4	S	00172	19700101	20991231	
2100692		Procedure	CPT4	CPT4	S	00174	19700101	20991231	
2100693		Procedure	CPT4	CPT4	S	00176	19700101	20991231	
1389532		Measurement	CPT4	CPT4	S	0017M	20221107	20991231	
42739913		Procedure	CPT4	CPT4	S	0017T	19700101	20110505	
725002		Measurement	CPT4	CPT4	S	0017U	20180501	20991231	
1389533		Measurement	CPT4	CPT4	S	0018M	20221107	20991231	
42739914		Procedure	CPT4	CPT4	S	0018T	19700101	20070703	
926983		Measurement	CPT4	CPT4	S	0018U	20190506	20991231	
2100696		Procedure	CPT4	CPT4	S	00190	19700101	20991231	
2100697		Procedure	CPT4	CPT4	S	00192	19700101	20991231	
2100698		Procedure	CPT4	CPT4		0019T	19700101	20170507	
926984		Measurement	CPT4	CPT4	S	0019U	20190506	20991231	
42739916		Procedure	CPT4	CPT4		0020T	19700101	20060213	
926985		Measurement	CPT4	CPT4	S	0020U	20190506	20200503	
2100700		Procedure	CPT4	CPT4		00210	19700101	20991231	
2100701		Procedure	CPT4	CPT4	S	00211	20090406	20991231	
2100712		Procedure	CPT4	CPT4		00212	19700101	20991231	
2100713		Procedure	CPT4	CPT4	S	00214	19700101	20991231	
2100714		Procedure	CPT4	CPT4	S	00215	19700101	20991231	
2100715		Procedure	CPT4	CPT4		00216	19700101	20991231	
2100716		Procedure	CPT4	CPT4		00218	19700101	20991231	
766236		Drug	CPT4	CPT4		0021A	19700101	20991231	
42739929		Procedure	CPT4	CPT4	S	0021T	19700101	20070703	
926986		Measurement	CPT4	CPT4	S	0021U	20190506	20991231	
2100718		Procedure	CPT4	CPT4		00220	19700101	20991231	
2100719		Procedure	CPT4	CPT4	S	00222	19700101	20991231	
766237		Drug	CPT4	CPT4		0022A	19700101	20991231	
926987		Measurement	CPT4	CPT4	S	0022U	20190506	20991231	
759440		Drug	CPT4	CPT4		0023A	20210503	20230501	
42739917		Procedure	CPT4	CPT4	S	0023T	19700101	20060213	
926988		Measurement	CPT4	CPT4	S	0023U	20190506	20991231	
759441		Drug	CPT4	CPT4		0024A	20210503	20230501	
42739918		Procedure	CPT4	CPT4	S	0024T	19700101	20080401	
926989		Measurement	CPT4	CPT4	S	0024U	20190506	20991231	
42739919		Procedure	CPT4	CPT4	S	0025T	19700101	20040331	
926990		Measurement	CPT4	CPT4	S	0025U	20190506	20991231	
42739920		Procedure	CPT4	CPT4	S	0026T	19700101	20090406	
